ENSGID	CHR	START	END	TSS	STRAND	NAME	TYPE
ENSG00000186092	1	65419	71585	65419	+	OR4F5	protein_coding
ENSG00000284733	1	450740	451678	451678	-	OR4F29	protein_coding
ENSG00000284662	1	685716	686654	686654	-	OR4F16	protein_coding
ENSG00000187634	1	923923	944575	923923	+	SAMD11	protein_coding
ENSG00000188976	1	944203	959309	959309	-	NOC2L	protein_coding
ENSG00000187961	1	960584	965719	960584	+	KLHL17	protein_coding
ENSG00000187583	1	966482	975865	966482	+	PLEKHN1	protein_coding
ENSG00000187642	1	975198	982117	982117	-	PERM1	protein_coding
ENSG00000188290	1	998962	1000172	1000172	-	HES4	protein_coding
ENSG00000187608	1	1001138	1014540	1001138	+	ISG15	protein_coding
ENSG00000188157	1	1020120	1056119	1020120	+	AGRN	protein_coding
ENSG00000237330	1	1070967	1074306	1074306	-	RNF223	protein_coding
ENSG00000131591	1	1081818	1116361	1116361	-	C1orf159	protein_coding
ENSG00000162571	1	1173880	1197936	1173880	+	TTLL10	protein_coding
ENSG00000186891	1	1203508	1206592	1206592	-	TNFRSF18	protein_coding
ENSG00000186827	1	1211326	1214153	1214153	-	TNFRSF4	protein_coding
ENSG00000078808	1	1216931	1232031	1232031	-	SDF4	protein_coding
ENSG00000176022	1	1232237	1235041	1232237	+	B3GALT6	protein_coding
ENSG00000184163	1	1242446	1246722	1246722	-	C1QTNF12	protein_coding
ENSG00000160087	1	1253909	1273864	1273864	-	UBE2J2	protein_coding
ENSG00000162572	1	1280436	1292029	1280436	+	SCNN1D	protein_coding
ENSG00000131584	1	1292390	1309609	1309609	-	ACAP3	protein_coding
ENSG00000169972	1	1308597	1311677	1308597	+	PUSL1	protein_coding
ENSG00000127054	1	1311585	1324687	1324687	-	INTS11	protein_coding
ENSG00000224051	1	1324756	1328896	1324756	+	CPTP	protein_coding
ENSG00000169962	1	1331280	1335314	1331280	+	TAS1R3	protein_coding
ENSG00000107404	1	1335276	1349418	1349418	-	DVL1	protein_coding
ENSG00000162576	1	1352689	1361777	1361777	-	MXRA8	protein_coding
ENSG00000175756	1	1373730	1375207	1375207	-	AURKAIP1	protein_coding
ENSG00000221978	1	1385711	1399335	1399335	-	CCNL2	protein_coding
ENSG00000242485	1	1401909	1407293	1407293	-	MRPL20	protein_coding
ENSG00000235098	1	1418420	1421769	1421769	-	ANKRD65	protein_coding
ENSG00000205116	1	1425871	1430255	1425871	+	TMEM88B	protein_coding
ENSG00000179403	1	1434861	1442882	1434861	+	VWA1	protein_coding
ENSG00000215915	1	1449689	1470163	1449689	+	ATAD3C	protein_coding
ENSG00000160072	1	1471765	1497848	1471765	+	ATAD3B	protein_coding
ENSG00000197785	1	1512162	1534685	1512162	+	ATAD3A	protein_coding
ENSG00000205090	1	1534778	1540624	1540624	-	TMEM240	protein_coding
ENSG00000160075	1	1541673	1574863	1574863	-	SSU72	protein_coding
ENSG00000228594	1	1598012	1600135	1600135	-	FNDC10	protein_coding
ENSG00000197530	1	1615454	1630605	1615454	+	MIB2	protein_coding
ENSG00000189409	1	1632163	1635263	1632163	+	MMP23B	protein_coding
ENSG00000248333	1	1635225	1659012	1659012	-	CDK11B	protein_coding
ENSG00000189339	1	1659529	1692795	1692795	-	SLC35E2B	protein_coding
ENSG00000008128	1	1702379	1724357	1724357	-	CDK11A	protein_coding
ENSG00000008130	1	1751232	1780457	1780457	-	NADK	protein_coding
ENSG00000078369	1	1785285	1892292	1892292	-	GNB1	protein_coding
ENSG00000169885	1	1915108	1917296	1915108	+	CALML6	protein_coding
ENSG00000178821	1	1917590	1919279	1919279	-	TMEM52	protein_coding
ENSG00000142609	1	1921951	2003837	2003837	-	CFAP74	protein_coding
ENSG00000187730	1	2019329	2030758	2019329	+	GABRD	protein_coding
ENSG00000067606	1	2050411	2185395	2050411	+	PRKCZ	protein_coding
ENSG00000162585	1	2184461	2212720	2212720	-	FAAP20	protein_coding
ENSG00000157933	1	2227388	2310213	2227388	+	SKI	protein_coding
ENSG00000116151	1	2321253	2391707	2391707	-	MORN1	protein_coding
ENSG00000157916	1	2391775	2405442	2391775	+	RER1	protein_coding
ENSG00000157911	1	2403964	2413797	2413797	-	PEX10	protein_coding
ENSG00000149527	1	2425980	2505532	2425980	+	PLCH2	protein_coding
ENSG00000157881	1	2508537	2526597	2526597	-	PANK4	protein_coding
ENSG00000197921	1	2528745	2530263	2530263	-	HES5	protein_coding
ENSG00000157873	1	2555639	2565382	2555639	+	TNFRSF14	protein_coding
ENSG00000157870	1	2586491	2591469	2586491	+	PRXL2B	protein_coding
ENSG00000142606	1	2590639	2633016	2633016	-	MMEL1	protein_coding
ENSG00000215912	1	2636986	2801693	2801693	-	TTC34	protein_coding
ENSG00000169717	1	3021467	3022903	3021467	+	ACTRT2	protein_coding
ENSG00000142611	1	3069168	3438621	3069168	+	PRDM16	protein_coding
ENSG00000130762	1	3454665	3481113	3454665	+	ARHGEF16	protein_coding
ENSG00000162591	1	3487951	3611508	3611508	-	MEGF6	protein_coding
ENSG00000158109	1	3625015	3630127	3625015	+	TPRG1L	protein_coding
ENSG00000116213	1	3630767	3652761	3652761	-	WRAP73	protein_coding
ENSG00000078900	1	3652516	3736201	3652516	+	TP73	protein_coding
ENSG00000162592	1	3746460	3771645	3746460	+	CCDC27	protein_coding
ENSG00000235169	1	3772749	3775982	3772749	+	SMIM1	protein_coding
ENSG00000130764	1	3778559	3796498	3796498	-	LRRC47	protein_coding
ENSG00000116198	1	3812086	3857396	3857396	-	CEP104	protein_coding
ENSG00000169598	1	3857267	3885429	3857267	+	DFFB	protein_coding
ENSG00000198912	1	3889125	3900293	3900293	-	C1orf174	protein_coding
ENSG00000196581	1	4654609	4792534	4654609	+	AJAP1	protein_coding
ENSG00000131697	1	5862811	5992473	5992473	-	NPHP4	protein_coding
ENSG00000069424	1	5990927	6101193	5990927	+	KCNAB2	protein_coding
ENSG00000116254	1	6101787	6180321	6180321	-	CHD5	protein_coding
ENSG00000285629	1	6159430	6197757	6197757	-	ENSG00000285629	protein_coding
ENSG00000116251	1	6185020	6209389	6209389	-	RPL22	protein_coding
ENSG00000158286	1	6205475	6221299	6205475	+	RNF207	protein_coding
ENSG00000116237	1	6221193	6235972	6235972	-	ICMT	protein_coding
ENSG00000173673	1	6244179	6245578	6244179	+	HES3	protein_coding
ENSG00000158292	1	6247353	6261098	6261098	-	GPR153	protein_coding
ENSG00000097021	1	6264269	6393767	6393767	-	ACOT7	protein_coding
ENSG00000069812	1	6412418	6424670	6424670	-	HES2	protein_coding
ENSG00000187017	1	6424776	6461367	6424776	+	ESPN	protein_coding
ENSG00000215788	1	6460786	6466175	6466175	-	TNFRSF25	protein_coding
